CONSTITUENCY,WINNER,PARTY,STATE,YEAR
SRIKAKULAM,RAJGOPALARAO BODDEPALLI,INC,Andhra Pradesh,1977
PARVATHIPURAM (ST),VYRICHORLA KISHORE CHANDRA SURYANARAYANA DEO,INC,Andhra Pradesh,1977
BOBBILI,PUSAPATI VIJAYRAMA GAJAPATHI RAJU,INC,Andhra Pradesh,1977
VISAKHAPATNAM,DRONAMRAJU SATYANARAYANA,INC,Andhra Pradesh,1977
BHADRACHALAM (ST),RADHA BAI ANANDA RAO,INC,Andhra Pradesh,1977
ANAKAPALLI,APPALANAIDU S. R. A. S.,INC,Andhra Pradesh,1977
KAKINADA,SANJEEVIRAO M. S.,INC,Andhra Pradesh,1977
RAJAHMUNDRY,PATTABHIRAMA RAO S. B. P.,INC,Andhra Pradesh,1977
AMALAPURAM (SC),KUSUMA KRISHNA MURTY,INC,Andhra Pradesh,1977
NARASAPUR,ALLURI SUBHASH CHANDRA BOSE,INC,Andhra Pradesh,1977
ELURU,KOMMAREDDY SURYANARAYANA,INC,Andhra Pradesh,1977
MACHILIPATNAM,ANKINEEDU MAGANTI,INC,Andhra Pradesh,1977
VIJAYAWADA,GODEY MURAHARI,INC,Andhra Pradesh,1977
TENALI,MEDURI NAGESWARA RAO,INC,Andhra Pradesh,1977
GUNTUR,KOTHA RAGHURAMAIAH,INC,Andhra Pradesh,1977
BAPATLA,ANKINEEDU PRASADA RAO PAMULAPATI,INC,Andhra Pradesh,1977
NARASARAOPET,BRAHMANANDA REDDY KASU,INC,Andhra Pradesh,1977
ONGOLE,PULI VENKATA REDDY,INC,Andhra Pradesh,1977
NELLORE (SC),KAMAKSHAIAH DODDAVARAPU,INC,Andhra Pradesh,1977
TIRUPATHI (SC),BALAKRISHNAIAH TAMBURA,INC,Andhra Pradesh,1977
CHITTOOR,P. RAJAGOPAL NAIDU,INC,Andhra Pradesh,1977
RAJAMPET,POTHURAJU PARTHASARATHI,INC,Andhra Pradesh,1977
CUDDAPAH,KANDALA OBUL REDDY,INC,Andhra Pradesh,1977
HINDUPUR,P. BAYAPA REDDY,INC,Andhra Pradesh,1977
ANANTAPUR,DARUR PULLAIAH,INC,Andhra Pradesh,1977
KURNOOL,K. VIJAYA BHASKARA REDDY,INC,Andhra Pradesh,1977
NANDYAL,NEELAM SANJEEVA REDDY,BLD,Andhra Pradesh,1977
